# t    x    y    z    z_dot    theta    theta_dot    Energia
 25.000000      -0.033145      -0.437529       0.138783       0.194396      -0.075610       1.501349      -0.309325
 25.100000       0.032928      -0.439659       0.140891      -0.151182       0.074755       1.488016      -0.309392
 25.200000       0.089207      -0.402717       0.112479      -0.376545       0.217992       1.339223      -0.309461
 25.300000       0.122384      -0.355127       0.075624      -0.315713       0.331873       0.865508      -0.309517
 25.400000       0.131204      -0.332426       0.057381      -0.030423       0.375919      -0.031958      -0.309594
 25.500000       0.118484      -0.351430       0.070866       0.282823       0.325181      -0.933635      -0.309649
 25.600000       0.083230      -0.398821       0.107413       0.400195       0.205738      -1.380714      -0.309726
 25.700000       0.027018      -0.439067       0.139898       0.206335       0.061458      -1.470816      -0.309808
 25.800000      -0.037240      -0.440685       0.142256      -0.159001      -0.084304      -1.429346      -0.309885
 25.900000      -0.090327      -0.402151       0.112171      -0.399356      -0.220942      -1.268154      -0.309964
 26.000000      -0.120078      -0.353394       0.073237      -0.330471      -0.327545      -0.792037      -0.310031
 26.100000      -0.126475      -0.331530       0.054835      -0.017741      -0.364446       0.097682      -0.310121
 26.200000      -0.112779      -0.353260       0.070825       0.316248      -0.309024       0.955663      -0.310187
 26.300000      -0.077664      -0.402958       0.110374       0.421189      -0.190400       1.345265      -0.310281
 26.400000      -0.022667      -0.442530       0.143110       0.189647      -0.051177       1.411066      -0.310374
 26.500000       0.039184      -0.440543       0.142282      -0.200776       0.088711       1.374324      -0.310463
 26.600000       0.089317      -0.398520       0.108406      -0.427268       0.220479       1.224606      -0.310554
 26.700000       0.116926      -0.349667       0.068698      -0.316838       0.322703       0.745433      -0.310630
 26.800000       0.122792      -0.331523       0.053533       0.028661       0.354720      -0.142856      -0.310727
 26.900000       0.109484      -0.357823       0.074198       0.355948       0.296926      -0.953495      -0.310798
 27.000000       0.074692      -0.408819       0.115586       0.415236       0.180708      -1.306104      -0.310898
 27.100000       0.020170      -0.444858       0.145315       0.140583       0.045310      -1.378608      -0.310991
 27.200000      -0.040562      -0.437379       0.139256      -0.247978      -0.092474      -1.364072      -0.311083
 27.300000      -0.089375      -0.392709       0.102750      -0.429178      -0.223775      -1.220287      -0.311172
 27.400000      -0.116444      -0.346314       0.065366      -0.272782      -0.324362      -0.714004      -0.311247
 27.500000      -0.122584      -0.333526       0.055340       0.079819      -0.352215       0.186517      -0.311338
 27.600000      -0.109111      -0.363532       0.079553       0.370789      -0.291586       0.964696      -0.311404
 27.700000      -0.073141      -0.413408       0.119828       0.380437      -0.175111       1.305850      -0.311495
 27.800000      -0.017352      -0.444455       0.144794       0.087918      -0.039021       1.393970      -0.311576
 27.900000       0.043820      -0.432468       0.134683      -0.270553       0.100980       1.389304      -0.311659
